reviewerID,productID,score
R10,P6255,4
R10,P2962,4
R10,P871,4
R10,P1210,3
R10,P3132,4
R10,P5257,2
R10,P794,4
R11,P261,5
R11,P104,5
R11,P5947,5
R11,P330,5
R11,P2535,5
R11,P359,4
R11,P6370,3
R11,P1278,3
R11,P1092,3
R11,P4426,5
R11,P369,5
R11,P5030,4
R11,P1844,4
R11,P2351,5
R11,P849,3
R11,P5,4
R11,P5393,4
R12,P1451,5
R12,P3125,4
R12,P2271,5
R12,P3506,5
R12,P1287,5
R12,P2326,5
R12,P5065,5
R12,P132,5
R13,P5234,4
R13,P4994,5
R13,P4580,5
R13,P3176,5
R13,P5561,4
R13,P467,5
R13,P937,4
R14,P2104,5
R14,P210,5
R14,P1959,5
R14,P5665,3
R14,P1324,5
R14,P2535,4
R14,P4527,5
R14,P227,1
R14,P282,5
R14,P4285,5
R14,P2001,4
R14,P4881,5
R14,P65,5
R14,P5419,1
R14,P3758,1
R15,P5435,5
R15,P2489,4
R15,P1825,4
R15,P1383,4
R15,P83,4
R16,P375,5
R16,P1487,2
R16,P4865,5
R16,P6094,3
R16,P3211,2
R16,P1090,2
R16,P4368,2
R16,P4593,5
R16,P6340,2
R16,P6210,5
R16,P1582,4
R16,P4949,3
R16,P4413,4
R17,P5269,5
R17,P3779,4
R17,P3640,3
R17,P3786,5
R17,P6090,3
R17,P4076,5
R17,P2214,5
R17,P1524,4
R17,P1636,5
R17,P5901,5
R17,P5119,5
R17,P4438,5
R17,P3437,5
R17,P3619,5
R17,P6179,3
R17,P660,5
R17,P5219,4
R17,P5183,5
R17,P4732,5
R17,P6050,5
R17,P6385,4
R17,P2477,3
R18,P5487,5
R18,P6261,2
R18,P3876,3
R18,P3837,1
R18,P1090,3
R19,P4934,4
R19,P1683,3
R19,P5727,5
R19,P3607,3
R19,P847,5
R19,P752,4
R19,P3716,5
R19,P5944,5
R19,P3829,3
R19,P4252,5
R19,P1677,4
R19,P2698,3
R19,P213,5
R20,P5975,5
R20,P692,5
R20,P1837,5
R20,P5359,5
R20,P2464,3
R20,P4939,5
R20,P191,5
R21,P4108,4
R21,P1788,4
R21,P4482,5
R21,P5825,4
R21,P3177,4
R21,P2595,3
R21,P3718,5
R21,P28,5
R21,P6326,4
R22,P4408,5
R22,P2095,5
R22,P4004,5
R22,P374,5
R22,P300,5
R23,P1029,5
R23,P2447,5
R23,P1475,5
R23,P5439,5
R23,P1404,5
R23,P5649,5
R23,P2982,5
R24,P2817,5
R24,P4128,5
R24,P5560,5
R24,P4146,5
R24,P5252,5
R25,P3709,4
R25,P23,4
R25,P3132,5
R25,P6092,4
R25,P4724,4
R26,P1683,5
R26,P3553,1
R26,P1937,5
R26,P33,5
R26,P2738,5
R26,P300,2
R27,P5132,5
R27,P2300,5
R27,P3052,5
R27,P509,5
R27,P2529,5
R27,P2355,5
R27,P692,5
R27,P3312,5
R27,P1552,5
R27,P4305,5
R27,P5974,5
R27,P187,5
R27,P1067,5
R27,P4418,5
R27,P605,5
R27,P1722,5
R28,P4719,5
R28,P5474,1
R28,P4305,4
R28,P2444,5
R28,P636,4
R28,P503,1
R29,P1677,4
R29,P5949,5
R29,P4837,5
R29,P4548,5
R29,P6293,5
R29,P4810,4
R30,P5835,2
R30,P6083,2
R30,P3250,3
R30,P4982,5
R30,P3189,5
R30,P3379,2
R30,P331,1
R30,P4062,3
R30,P1155,5
R30,P3884,5
R31,P5731,1
R31,P1096,2
R31,P726,1
R31,P1813,4
R31,P1936,4
R32,P11,4
R32,P3097,3
R32,P4094,4
R32,P5567,5
R32,P1638,3
R32,P4528,4
R32,P6039,3
R32,P5608,4
R32,P6283,4
R33,P3076,5
R33,P1116,5
R33,P3476,5
R33,P5219,5
R33,P2472,5
R34,P3957,5
R34,P2391,5
R34,P3177,5
R34,P6261,5
R34,P6181,5
R35,P4215,4
R35,P3472,2
R35,P4459,4
R35,P4938,4
R35,P4223,4
R35,P5835,5
R36,P903,5
R36,P677,5
R36,P3829,5
R36,P5030,5
R36,P2506,3
R36,P568,5
R37,P5865,5
R37,P5459,5
R37,P1424,5
R37,P2227,3
R37,P5107,4
R37,P4701,5
R37,P5296,4
R37,P1561,5
R38,P2456,5
R38,P1721,5
R38,P4492,5
R38,P4142,5
R38,P1066,5
R38,P3574,5
R38,P1210,5
R38,P3635,5
R38,P2479,5
R38,P3894,4
R38,P5423,5
R38,P690,4
R39,P5131,2
R39,P4064,2
R39,P2998,3
R39,P194,3
R39,P890,5
R39,P5694,5
R39,P3757,3
R39,P267,3
R39,P6083,4
R39,P4411,3
R39,P4783,5
R39,P4277,4
R39,P2552,3
R39,P5252,3
R39,P556,3
R39,P5734,2
R39,P663,5
R39,P863,3
R40,P2142,3
R40,P1664,4
R40,P3901,3
R40,P4562,3
R40,P4814,5
R40,P3129,5
R40,P929,4
R41,P5835,5
R41,P2526,5
R41,P6090,3
R41,P3949,3
R41,P2911,3
R41,P5307,5
R41,P2553,4
R42,P2682,4
R42,P4134,4
R42,P5168,5
R42,P6204,3
R42,P21,4
R42,P598,4
R42,P5807,3
R43,P1735,5
R43,P3799,5
R43,P5855,4
R43,P140,5
R43,P5487,4
R43,P5976,5
R43,P6141,5
R43,P677,5
R44,P3218,2
R44,P2155,2
R44,P3342,3
R44,P973,4
R44,P3003,4
R44,P1532,3
R44,P5458,2
R44,P4412,2
R44,P1837,2
R45,P3362,5
R45,P56,2
R45,P1924,2
R45,P4834,2
R45,P3089,3
R45,P2575,3
R45,P1518,4
R45,P3595,2
R45,P1531,5
R45,P3872,3
R45,P1294,2
R45,P3125,2
R45,P361,2
R45,P4514,4
R45,P5308,3
R45,P5188,3
R45,P2315,2
R45,P233,2
R46,P6156,4
R46,P5739,4
R46,P1758,4
R46,P4761,4
R46,P3716,5
R47,P2214,5
R47,P3668,5
R47,P4094,5
R47,P313,4
R47,P4575,5
R47,P503,5
R47,P4746,5
R47,P2371,5
R47,P3973,5
R47,P1584,4
R47,P4627,5
R47,P4545,5
R47,P3371,5
R48,P4173,5
R48,P2203,5
R48,P1177,5
R48,P1221,5
R48,P4597,5
R48,P492,5
R49,P1171,5
R49,P1956,5
R49,P5336,5
R49,P38,5
R49,P6188,5
R49,P6215,5
R50,P997,5
R50,P233,2
R50,P190,5
R50,P4833,5
R50,P6342,5
R51,P2866,5
R51,P4233,4
R51,P284,4
R51,P4163,1
R51,P4174,3
R51,P5360,4
R51,P784,2
R51,P4223,4
R52,P6218,5
R52,P567,5
R52,P5561,3
R52,P2798,1
R52,P4646,4
R53,P1792,5
R53,P4405,4
R53,P2333,4
R53,P836,5
R53,P6138,4
R54,P1245,5
R54,P1241,5
R54,P210,3
R54,P904,4
R54,P5598,4
R54,P3377,4
R54,P5785,4
R55,P231,5
R55,P3469,1
R55,P1125,5
R55,P1528,5
R55,P6255,1
R56,P2000,4
R56,P4669,5
R56,P2712,4
R56,P3872,5
R56,P5205,5
R57,P4067,5
R57,P2561,5
R57,P3868,5
R57,P3089,5
R57,P227,5
R57,P4324,5
R57,P5140,5
R57,P138,5
R57,P2957,5
R57,P767,5
R57,P2022,5
R57,P1434,5
R57,P4082,5
R57,P5296,5
R57,P124,5
R57,P3660,5
R57,P5507,5
R58,P646,5
R58,P2750,5
R58,P4205,3
R58,P5188,5
R58,P6299,2
R58,P5456,2
R59,P1735,5
R59,P3509,5
R59,P6309,5
R59,P15,5
R59,P4660,4
R59,P1478,5
R59,P6262,5
R59,P1408,5
R59,P3864,4
R59,P5714,4
R60,P3873,5
R60,P4450,3
R60,P4116,5
R60,P43,3
R60,P2256,5
R60,P1612,5
R60,P3875,3
R61,P829,5
R61,P1648,2
R61,P1735,2
R61,P5666,4
R61,P568,5
R61,P4476,2
R61,P1924,4
R62,P390,4
R62,P6097,3
R62,P4128,4
R62,P4805,3
R62,P5131,1
R63,P3792,5
R63,P3604,5
R63,P2090,5
R63,P4562,4
R63,P4074,4
R63,P675,4
R63,P4597,5
R63,P2912,3
R63,P4807,5
R63,P4849,5
R63,P5827,5
R63,P3277,5
R63,P6146,5
R63,P5747,5
R63,P1423,4
R63,P5094,5
R63,P3352,5
R63,P3096,5
R63,P5140,5
R63,P31,4
R63,P2265,5
R63,P4177,5
R63,P4898,5
R63,P3829,5
R63,P403,4
R63,P4740,4
R63,P5733,5
R63,P1787,5
R63,P4771,5
R63,P5933,5
R63,P4126,5
R63,P1954,5
R63,P524,5
R63,P4388,5
R63,P5476,5
R63,P4050,5
R63,P2623,4
R63,P3101,5
R63,P3006,5
R63,P5610,5
R63,P1319,5
R63,P4684,5
R63,P366,5
R63,P1290,5
R63,P1933,5
R63,P3379,5
R63,P726,5
R64,P2396,5
R64,P1357,5
R64,P5955,5
R64,P645,5
R64,P1457,5
R64,P761,5
R65,P4758,5
R65,P4047,4
R65,P1050,4
R65,P6389,5
R65,P1102,4
R65,P4224,5
R65,P3742,5
R65,P5818,5
R65,P4741,5
R65,P1692,5
R65,P3154,4
R65,P1155,4
R65,P1516,5
R66,P2279,5
R66,P4259,4
R66,P4899,5
R66,P4894,5
R66,P2535,4
R67,P1719,5
R67,P5978,5
R67,P1899,5
R67,P3437,5
R67,P5060,4
R68,P752,5
R68,P699,1
R68,P3017,1
R68,P323,1
R68,P2586,5
R68,P1844,1
R68,P3137,5
R68,P5242,2
R68,P5541,5
R68,P632,5
R68,P6215,5
R68,P2601,3
R68,P1742,5
R68,P5144,4
R68,P770,5
R68,P5649,5
R68,P2248,3
R68,P5951,1
R68,P1951,5
R68,P665,5
R68,P65,5
R68,P291,5
R68,P4316,5
R68,P3294,5
R68,P1690,3
R68,P3386,1
R69,P5647,5
R69,P3890,5
R69,P5279,5
R69,P5944,5
R69,P586,5
R69,P1807,5
R69,P2005,5
R70,P1129,5
R70,P1774,5
R70,P4516,5
R70,P4299,5
R70,P1721,5
R70,P4731,5
R71,P5743,2
R71,P3824,5
R71,P4035,4
R71,P4153,4
R71,P5336,5
R72,P4362,5
R72,P3751,4
R72,P5313,5
R72,P552,5
R72,P5887,5
R72,P2516,4
R72,P1889,3
R73,P4768,5
R73,P5305,5
R73,P4406,5
R73,P2391,4
R73,P974,4
R73,P1710,5
R73,P3906,4
R73,P6092,5
R73,P5561,4
R73,P6353,4
R73,P4597,5
R73,P5181,5
R73,P5285,5
R73,P764,4
R73,P5235,5
R73,P173,4
R73,P4132,4
R73,P2214,5
R73,P6147,5
R73,P1431,4
R73,P4699,4
R73,P677,5
R73,P3245,5
R73,P1333,4
R73,P2305,5
R73,P5338,4
R73,P5820,5
R73,P4623,5
R73,P2801,4
R73,P2291,4
R73,P6348,5
R73,P4472,4
R73,P3588,5
R73,P2850,5
R73,P1283,4
R73,P5700,5
R73,P341,5
R73,P4315,4
R73,P2266,5
R73,P6256,5
R73,P2627,5
R73,P486,5
R73,P2938,5
R73,P2228,5
R73,P765,5
R73,P48,4
R73,P5357,5
R73,P1542,4
R73,P1007,5
R73,P3554,5
R73,P4631,5
R73,P1977,5
R73,P1217,5
R73,P1381,5
R73,P4222,5
R73,P2148,3
R73,P120,5
R73,P4539,4
R73,P4736,4
R73,P5902,5
R73,P3898,5
R73,P5296,5
R73,P5892,5
R73,P4690,5
R73,P3304,5
R73,P657,5
R73,P2456,5
R74,P4407,4
R74,P3402,5
R74,P5308,5
R74,P4833,5
R74,P3742,5
R75,P1487,5
R75,P4569,5
R75,P266,5
R75,P3039,5
R75,P2326,5
R75,P3079,5
R76,P1786,5
R76,P2951,5
R76,P3091,5
R76,P1604,5
R76,P1099,5
R76,P1011,5
R76,P4164,5
R76,P1993,5
R76,P6292,5
R76,P5807,5
R76,P4386,5
R77,P6090,5
R77,P682,5
R77,P5972,5
R77,P2289,4
R77,P3117,1
R77,P3619,4
R77,P4213,5
R77,P4639,4
R77,P2958,4
R77,P5203,4
R77,P5695,5
R78,P2369,5
R78,P5835,5
R78,P677,5
R78,P1956,5
R78,P5399,5
R79,P4803,5
R79,P3660,4
R79,P1193,5
R79,P5953,5
R79,P1056,5
R80,P5398,5
R80,P1509,5
R80,P1735,5
R80,P549,5
R80,P872,5
R80,P1823,5
R80,P788,5
R80,P4035,5
R80,P361,1
R80,P3726,5
R80,P1198,2
R80,P4064,5
R80,P706,5
R80,P4071,5
R80,P4058,5
R80,P5987,5
R80,P2118,5
R80,P337,5
R80,P474,5
R80,P899,5
R80,P5240,5
R80,P2393,5
R80,P825,5
R80,P1438,5
R80,P5241,5
R80,P1201,5
R80,P380,5
R80,P3162,5
R80,P6291,5
R80,P3365,5
R80,P2155,5
R80,P4349,1
R80,P4486,5
R80,P1548,5
R80,P929,5
R80,P5199,1
R80,P3322,5
R80,P4272,5
R80,P4383,5
R80,P3096,5
R80,P4226,5
R81,P1690,2
R81,P170,2
R81,P950,4
R81,P1932,2
R81,P4367,5
R81,P249,2
R81,P417,2
R82,P850,5
R82,P1600,5
R82,P4048,5
R82,P765,5
R82,P3117,5
R82,P1524,5
R82,P4551,5
R82,P890,5
R83,P1816,4
R83,P2792,3
R83,P6227,5
R83,P4865,5
R83,P4522,3
R83,P2248,4
R83,P3072,5
R84,P718,1
R84,P4153,4
R84,P1731,5
R84,P4988,5
R84,P1089,4
R85,P713,5
R85,P3085,5
R85,P4345,5
R85,P2560,5
R85,P3675,5
R85,P3476,5
R85,P502,5
R85,P566,5
R85,P5679,4
R86,P3040,5
R86,P171,4
R86,P2851,4
R86,P5219,3
R86,P3742,2
R86,P62,5
R86,P3522,4
R86,P5381,5
R87,P903,5
R87,P2285,3
R87,P6065,4
R87,P636,4
R87,P603,4
R88,P786,5
R88,P5929,5
R88,P289,5
R88,P4903,5
R88,P3729,5
R88,P2247,5
R88,P863,5
R88,P396,5
R89,P4640,2
R89,P1728,5
R89,P5172,5
R89,P4542,5
R89,P536,2
R89,P1342,4
R89,P6204,2
R89,P1704,2
R89,P4305,3
R89,P4034,5
R89,P2235,5
R90,P1023,2
R90,P1856,2
R90,P487,5
R90,P5325,4
R90,P91,5
R90,P4077,4
R91,P1635,4
R91,P5647,4
R91,P3709,4
R91,P4492,4
R91,P914,3
R91,P1678,3
R91,P5332,4
R91,P2550,4
R91,P3337,5
R91,P4476,5
R91,P5524,5
R91,P3346,2
R91,P3063,3
R91,P2562,3
R91,P189,3
R91,P1749,2
R91,P506,1
R91,P25,4
R91,P6232,3
R91,P518,2
R91,P1338,3
R91,P3512,4
R91,P1897,5
R91,P4472,5
R91,P4458,4
R92,P621,5
R92,P4128,5
R92,P3971,5
R92,P3864,5
R92,P986,5
R92,P2375,5
R93,P6119,1
R93,P1774,4
R93,P3830,3
R93,P1128,4
R93,P1635,1
R94,P1181,5
R94,P1830,5
R94,P1036,5
R94,P3049,5
R94,P3050,5
R95,P3607,5
R95,P3322,5
R95,P5889,5
R95,P2150,5
R95,P937,5
R95,P1690,5
R95,P1450,5
R96,P2982,4
R96,P5840,5
R96,P6286,5
R96,P6289,5
R96,P1524,5
R96,P521,5
R96,P1020,5
R96,P1008,5
R96,P5613,5
R96,P3402,5
R96,P3840,5
R96,P1986,4
R96,P65,5
R97,P1540,1
R97,P11,5
R97,P2271,3
R97,P999,1
R97,P4660,5
R97,P2326,5
R98,P2433,5
R98,P1644,2
R98,P780,3
R98,P1452,2
R98,P4702,3
R99,P4416,5
R99,P6206,5
R99,P5521,4
R99,P4766,4
R99,P5726,4
R99,P948,4
R100,P2430,5
R100,P1722,5
R100,P4829,5
R100,P3349,5
R100,P1457,5
R100,P752,5
R100,P4544,5
R100,P1363,4
R100,P4514,5
R100,P2601,4
R100,P5899,4
R100,P4287,5
R100,P3315,4
R101,P3726,4
R101,P3995,5
R101,P4457,4
R101,P5686,5
R101,P281,3
R101,P6365,5
R101,P5878,4
R102,P4145,4
R102,P6284,5
R102,P4731,5
R102,P3437,5
R102,P5349,5
R103,P6387,5
R103,P895,5
R103,P969,3
R103,P820,5
R103,P4035,5
R103,P2821,4
R103,P3988,5
R103,P3843,5
R103,P2048,4
R103,P315,4
R103,P5094,3
R103,P3649,5
R103,P2520,5
R103,P1017,3
R103,P1067,5
R103,P3799,5
R103,P1378,3
R103,P4131,5
R103,P1043,2
R103,P543,2
R103,P4990,5
R103,P5561,5
R103,P5132,5
R103,P4040,3
R103,P1319,4
R103,P4411,5
R103,P689,3
R103,P3977,3
R103,P3380,5
R103,P2900,4
R103,P709,3
R103,P3639,5
R103,P3132,5
R103,P825,5
R104,P2345,5
R104,P6064,5
R104,P3890,5
R104,P832,5
R104,P5976,5
R104,P5640,4
R104,P2247,5
R104,P3378,5
R104,P5323,5
R104,P2661,5
R105,P2436,4
R105,P3957,5
R105,P612,5
R105,P5913,5
R105,P5339,5
R105,P5728,5
R105,P5061,5
R105,P5119,5
R106,P3172,5
R106,P6092,5
R106,P4307,5
R106,P3594,5
R106,P4593,5
R107,P5450,5
R107,P4407,5
R107,P4373,5
R107,P3422,3
R107,P6092,5
R107,P1027,5
R107,P5482,4
R107,P6186,5
R107,P4300,5
R107,P3677,5
R107,P6093,5
R107,P6107,4
R108,P5219,4
R108,P5385,5
R108,P778,4
R108,P3602,1
R108,P2410,4
R108,P3824,1
R109,P1933,5
R109,P4690,5
R109,P146,5
R109,P172,5
R109,P5299,5
R109,P53,5
R109,P3840,5
R109,P224,5
R110,P1901,5
R110,P3315,4
R110,P6318,5
R110,P6229,1
R110,P283,3
R110,P6207,4
R110,P2463,5
R110,P251,4
R110,P1438,4
R110,P5172,5
R110,P2230,1
R111,P1637,5
R111,P2950,5
R111,P5471,1
R111,P4466,5
R111,P4495,1
R111,P3302,5
R111,P4768,1
R111,P57,5
R112,P40,5
R112,P2831,5
R112,P442,4
R112,P171,4
R112,P2726,4
R112,P6090,4
R112,P5179,5
R113,P1740,3
R113,P5183,4
R113,P3786,4
R113,P2362,4
R113,P5181,5
R113,P5153,5
R113,P3312,5
R113,P6157,4
R113,P1868,5
R113,P6174,4
R113,P5188,5
R113,P348,4
R113,P1655,5
R113,P467,5
R113,P3649,5
R113,P3838,4
R113,P2641,4
R113,P3846,5
R113,P5356,3
R113,P938,4
R113,P5778,5
R113,P5486,4
R113,P1627,5
R113,P3208,5
R113,P3915,5
R113,P3072,5
R113,P4151,4
R113,P4033,4
R113,P3441,4
R113,P5251,3
R113,P6039,3
R113,P2403,3
R113,P5880,4
R113,P3169,5
R113,P4731,3
R113,P4679,5
R113,P839,3
R113,P323,5
R113,P3008,5
R113,P1690,4
R113,P6212,1
R113,P6186,3
R113,P3043,5
R113,P5413,5
R113,P5916,5
R113,P4120,5
R113,P1467,3
R113,P2707,1
R113,P4131,5
R113,P2429,4
R113,P4611,5
R113,P2636,5
R113,P2042,4
R113,P2157,4
R113,P1390,4
R113,P502,5
R113,P3735,5
R113,P1238,4
R113,P2088,5
R113,P201,5
R113,P2074,3
R113,P3988,4
R113,P3074,5
R113,P29,4
R113,P5569,5
R113,P2921,5
R113,P618,4
R113,P843,4
R113,P2555,4
R113,P2510,5
R113,P3509,5
R113,P1863,5
R113,P5627,5
R113,P1773,4
R113,P5743,5
R113,P3789,4
R113,P4094,4
R113,P602,4
R113,P3722,4
R113,P4170,4
R113,P2698,5
R113,P3981,4
R113,P1387,3
R113,P2815,3
R113,P5048,5
R113,P3379,4
R113,P1746,5
R113,P3150,4
R113,P4576,5
R113,P2557,3
R113,P4275,4
R113,P1751,5
R113,P4776,5
R113,P2150,5
R113,P4507,5
R113,P2046,5
R113,P3234,4
R113,P4062,5
R113,P1963,4
R113,P2381,5
R113,P6171,5
R113,P4172,5
R113,P1870,5
R113,P2494,4
R114,P2294,4
R114,P1007,2
R114,P5718,4
R114,P6248,3
R114,P362,2
R115,P5995,5
R115,P1964,4
R115,P2796,3
R115,P4104,4
R115,P2154,4
R115,P1065,4
R115,P4293,4
R115,P1276,3
R115,P6314,5
R115,P1656,5
R115,P328,3
R115,P3008,5
R115,P4142,2
R115,P2081,5
R115,P5695,2
R115,P5149,5
R115,P4848,5
R115,P3304,5
R115,P3322,4
R115,P1750,4
R115,P3392,3
R115,P2606,4
R115,P5541,4
R115,P1924,2
R116,P3342,5
R116,P6238,5
R116,P4774,5
R116,P2352,5
R116,P130,4
R116,P1751,5
R116,P2657,5
R116,P754,5
R116,P2351,4
R116,P6252,5
R116,P6255,4
R116,P4597,5
R116,P1992,4
R117,P686,5
R117,P1920,5
R117,P3641,1
R117,P2007,5
R117,P4247,5
R117,P4407,5
R118,P3482,5
R118,P2070,5
R118,P1089,5
R118,P2883,4
R118,P1306,5
R118,P1821,5
R118,P2221,5
R118,P5042,5
R118,P2929,3
R118,P832,5
R118,P177,5
R118,P1735,5
R118,P4733,5
R118,P2009,5
R118,P1529,5
R118,P141,5
R118,P4471,5
R118,P4411,5
R118,P4064,5
R118,P1287,5
R118,P933,5
R118,P692,5
R118,P6042,5
R118,P3997,4
R118,P1478,5
R118,P4542,5
R118,P4950,5
R118,P2030,3
R118,P405,4
R118,P5514,5
R118,P4252,5
R118,P4498,5
R118,P1067,5
R118,P4463,5
R118,P1405,5
R118,P2228,5
R118,P5748,4
R118,P3836,5
R118,P4441,5
R118,P1276,5
R118,P4805,5
R118,P4716,5
R118,P1034,5
R118,P6092,4
R118,P5084,5
R118,P6094,5
R118,P4480,5
R118,P3588,5
R118,P2621,5
R118,P2380,5
R118,P217,5
R118,P863,5
R118,P2533,4
R118,P3160,5
R118,P3786,5
R118,P1362,5
R118,P1524,5
R118,P3751,5
R118,P850,4
R118,P4173,5
R118,P1925,5
R118,P4758,5
R118,P1313,5
R118,P1750,5
R118,P1378,5
R118,P369,5
R118,P4407,4
R118,P546,5
R118,P163,5
R118,P3074,5
R118,P3171,5
R118,P825,5
R118,P1748,5
R118,P171,5
R118,P5933,5
R118,P4752,5
R118,P2518,5
R118,P5173,5
R118,P2260,5
R118,P3289,4
R118,P5596,4
R118,P5510,5
R118,P1109,5
R119,P2103,5
R119,P1355,2
R119,P5808,5
R119,P5458,2
R119,P5542,5
R119,P2419,2
R119,P1859,5
R120,P1107,5
R120,P701,5
R120,P1857,4
R120,P5808,5
R120,P5070,4
R120,P2606,5
R120,P492,5
R120,P1158,3
R120,P3086,5
R120,P4068,4
R120,P441,5
R120,P5561,5
R120,P3708,5
R120,P1861,5
R120,P3455,5
R120,P1663,4
R120,P6280,3
R120,P5739,4
R120,P4853,4
R120,P4201,4
R120,P2355,5
R121,P2184,5
R121,P6273,5
R121,P492,4
R121,P6266,4
R121,P3862,5
R122,P5935,5
R122,P3799,5
R122,P3809,5
R122,P3038,5
R122,P5692,5
R123,P1179,4
R123,P2560,5
R123,P1679,4
R123,P287,4
R123,P6093,4
R124,P3988,5
R124,P3518,5
R124,P5059,5
R124,P2196,5
R124,P1017,5
R125,P4456,4
R125,P793,5
R125,P1058,5
R125,P5010,4
R125,P2854,5
R126,P3869,4
R126,P2569,4
R126,P6362,1
R126,P3595,5
R126,P4810,5
R126,P3718,4
R126,P620,5
R127,P1970,5
R127,P1749,5
R127,P2857,5
R127,P4657,5
R127,P4044,5
R128,P4061,3
R128,P1036,4
R128,P524,5
R128,P1657,4
R128,P844,4
R128,P1099,4
R128,P537,5
R128,P2475,2
R129,P5213,4
R129,P1908,1
R129,P5035,4
R129,P2535,4
R129,P3462,4
R129,P6232,3
R129,P315,4
R130,P118,1
R130,P5205,1
R130,P2178,1
R130,P620,1
R130,P3422,1
R130,P6222,1
R130,P5172,1
R130,P325,1
R130,P2702,5
R130,P698,1
R131,P5645,4
R131,P4492,5
R131,P3790,5
R131,P1390,5
R131,P3748,5
R131,P3469,5
R131,P4732,5
R132,P6176,5
R132,P5042,5
R132,P5465,5
R132,P40,5
R132,P2726,5
R133,P3436,3
R133,P6039,3
R133,P538,3
R133,P2300,2
R133,P2087,3
R133,P780,3
R133,P2251,4
R133,P1065,4
R133,P929,3
R133,P4842,2
R133,P1680,3
R133,P2828,2
R133,P5659,4
R133,P625,4
R133,P61,3
R134,P2301,3
R134,P6092,3
R134,P5141,3
R134,P1179,3
R134,P1910,3
R135,P334,4
R135,P1107,3
R135,P2353,3
R135,P4281,3
R135,P5591,1
R135,P5438,4
R135,P5732,4
R135,P3146,4
R136,P2665,5
R136,P5461,5
R136,P1211,5
R136,P5751,5
R136,P201,5
R137,P1995,5
R137,P1635,5
R137,P266,4
R137,P937,5
R137,P5814,4
R138,P2555,3
R138,P2904,5
R138,P5959,3
R138,P4064,5
R138,P2336,4
R139,P3579,5
R139,P6392,5
R139,P1210,5
R139,P701,5
R139,P3097,5
R139,P2946,1
R139,P758,5
R139,P4640,1
R139,P4480,5
R139,P3926,5
R140,P4528,5
R140,P3816,4
R140,P1194,5
R140,P4684,5
R140,P3217,5
R141,P1089,5
R141,P869,4
R141,P2069,5
R141,P3881,5
R141,P5992,5
R141,P1292,1
R141,P1518,1
R141,P2326,5
R141,P3011,5
R141,P5400,2
R141,P3802,5
R142,P4234,5
R142,P3440,5
R142,P2466,5
R142,P1959,5
R142,P1067,5
R142,P1661,5
R142,P323,5
R142,P3925,5
R143,P4220,2
R143,P3668,4
R143,P6285,4
R143,P4490,4
R143,P536,5
R144,P3233,4
R144,P1701,4
R144,P5296,3
R144,P2950,5
R144,P1756,5
R144,P5475,3
R145,P2734,5
R145,P3689,5
R145,P3253,5
R145,P4705,5
R145,P5859,5
